OrderID,CustomerID,OrderDate,Month,Quarter,Category,SubCategory,City,Channel,PaymentMethod,Quantity,UnitPrice,DiscountPct,DiscountAmt,Revenue,Cost,Profit,ProfitMarginPct,IsReturned,ReturnReason,CustomerRating,DeliveryDays
ORD10001,CUST1591,2024-01-01,January,Q1,Fashion,Accessories,Bangalore,Paid Ads,UPI,2,2031.07,0,0.0,4062.14,2476.02,1586.12,39.05,0,,3,10
ORD10002,CUST3881,2024-01-01,January,Q1,Toys,Board Games,Bangalore,Paid Ads,UPI,1,1898.94,0,0.0,1898.94,1072.57,826.37,43.52,1,Size Issue,2,10
ORD10003,CUST1316,2024-01-01,January,Q1,Beauty,Skincare,Kolkata,Organic Search,UPI,1,726.84,10,72.68,654.16,502.34,151.82,23.21,0,,2,7
ORD10004,CUST3461,2024-01-01,January,Q1,Home & Kitchen,Cookware,Delhi,Social Media,Credit Card,2,14176.51,30,8505.91,19847.11,14311.03,5536.08,27.89,1,Wrong Item,3,4
ORD10005,CUST3862,2024-01-01,January,Q1,Electronics,Laptop,Kolkata,Paid Ads,Credit Card,1,47962.93,10,4796.29,43166.64,28632.15,14534.49,33.67,0,,3,9
ORD10006,CUST3798,2024-01-01,January,Q1,Electronics,Camera,Mumbai,Direct,Credit Card,2,14556.31,0,0.0,29112.62,18196.92,10915.7,37.49,0,,3,8
ORD10007,CUST2546,2024-01-01,January,Q1,Electronics,Tablet,Pune,Organic Search,Debit Card,4,28502.92,0,0.0,114011.68,74836.25,39175.43,34.36,0,,3,10
ORD10008,CUST1689,2024-01-01,January,Q1,Books,Children,Pune,Social Media,UPI,1,397.13,0,0.0,397.13,219.11,178.02,44.83,0,,4,9
ORD10009,CUST2654,2024-01-01,January,Q1,Home & Kitchen,Furniture,Mumbai,Email,UPI,2,11264.23,5,1126.42,21402.04,14006.63,7395.41,34.55,0,,4,8
ORD10010,CUST1848,2024-01-01,January,Q1,Beauty,Skincare,Bangalore,Email,Credit Card,1,1070.24,0,0.0,1070.24,562.73,507.51,47.42,0,,4,5
ORD10011,CUST1892,2024-01-01,January,Q1,Electronics,Tablet,Mumbai,Direct,Credit Card,1,49254.48,25,12313.62,36940.86,27526.8,9414.06,25.48,0,,5,9
ORD10012,CUST2287,2024-01-02,January,Q1,Toys,Educational,Chennai,Email,Credit Card,1,812.62,10,81.26,731.36,547.63,183.73,25.12,0,,4,5
ORD10013,CUST2446,2024-01-02,January,Q1,Sports,Fitness Equipment,Bangalore,Referral,Net Banking,1,4187.38,15,628.11,3559.27,2878.73,680.55,19.12,0,,5,8
ORD10014,CUST2659,2024-01-02,January,Q1,Fashion,Footwear,Hyderabad,Paid Ads,UPI,1,2406.64,0,0.0,2406.64,1515.47,891.17,37.03,0,,5,4
ORD10015,CUST2122,2024-01-02,January,Q1,Electronics,Headphones,Mumbai,Social Media,COD,1,62846.07,0,0.0,62846.07,34162.37,28683.7,45.64,1,Size Issue,3,5
ORD10016,CUST2018,2024-01-02,January,Q1,Electronics,Mobile,Delhi,Organic Search,COD,3,64813.86,10,19444.16,174997.42,127362.04,47635.38,27.22,0,,4,11
ORD10017,CUST3928,2024-01-02,January,Q1,Fashion,Womens Clothing,Mumbai,Organic Search,UPI,2,4702.66,20,1881.06,7524.26,4293.22,3231.04,42.94,0,,4,4
ORD10018,CUST2190,2024-01-02,January,Q1,Home & Kitchen,Appliances,Delhi,Organic Search,UPI,5,2593.56,10,1296.78,11671.02,6168.61,5502.41,47.15,0,,4,2
ORD10019,CUST1945,2024-01-02,January,Q1,Fashion,Accessories,Hyderabad,Organic Search,Credit Card,2,3486.84,20,1394.74,5578.94,4291.21,1287.74,23.08,0,,1,4
ORD10020,CUST2554,2024-01-02,January,Q1,Fashion,Womens Clothing,Kolkata,Organic Search,UPI,1,3158.49,20,631.7,2526.79,1651.3,875.5,34.65,0,,5,11
ORD10021,CUST3459,2024-01-02,January,Q1,Home & Kitchen,Cookware,Chennai,Organic Search,Debit Card,1,2313.52,0,0.0,2313.52,1591.35,722.17,31.22,0,,2,5
ORD10022,CUST2923,2024-01-02,January,Q1,Electronics,Tablet,Bangalore,Organic Search,COD,1,5689.14,0,0.0,5689.14,3180.32,2508.82,44.1,0,,5,6
ORD10023,CUST1099,2024-01-02,January,Q1,Fashion,Accessories,Ahmedabad,Direct,Credit Card,1,4335.63,15,650.34,3685.29,2416.43,1268.86,34.43,1,Late Delivery,5,4
ORD10024,CUST3811,2024-01-03,January,Q1,Fashion,Accessories,Chennai,Organic Search,UPI,2,1921.67,5,192.17,3651.17,2381.03,1270.15,34.79,0,,4,11
ORD10025,CUST3307,2024-01-03,January,Q1,Home & Kitchen,Cookware,Ahmedabad,Email,Credit Card,1,12389.3,0,0.0,12389.3,7952.59,4436.71,35.81,0,,3,10
ORD10026,CUST1999,2024-01-03,January,Q1,Sports,Outdoor,Bangalore,Organic Search,COD,1,3319.82,5,165.99,3153.83,1888.61,1265.22,40.12,0,,4,4
ORD10027,CUST3643,2024-01-03,January,Q1,Electronics,Tablet,Delhi,Direct,Debit Card,1,21417.82,5,1070.89,20346.93,10783.88,9563.05,47.0,1,Changed Mind,3,6
ORD10028,CUST3857,2024-01-03,January,Q1,Home & Kitchen,Decor,Mumbai,Direct,UPI,1,10455.73,25,2613.93,7841.8,6726.46,1115.34,14.22,0,,3,7
ORD10029,CUST1264,2024-01-03,January,Q1,Home & Kitchen,Cookware,Chennai,Social Media,UPI,1,2893.44,0,0.0,2893.44,1533.78,1359.66,46.99,0,,5,7
ORD10030,CUST2852,2024-01-03,January,Q1,Electronics,Tablet,Mumbai,Social Media,Debit Card,1,26254.46,0,0.0,26254.46,12963.87,13290.59,50.62,0,,4,4
ORD10031,CUST3920,2024-01-03,January,Q1,Home & Kitchen,Cookware,Delhi,Organic Search,UPI,2,11408.25,10,2281.65,20534.85,13870.38,6664.47,32.45,0,,4,5
ORD10032,CUST1089,2024-01-04,January,Q1,Electronics,Mobile,Bangalore,Referral,Net Banking,1,68684.56,15,10302.68,58381.88,32461.24,25920.63,44.4,1,Late Delivery,5,3
ORD10033,CUST2592,2024-01-04,January,Q1,Electronics,Tablet,Hyderabad,Direct,Credit Card,2,67081.35,10,13416.27,120746.43,92953.04,27793.39,23.02,0,,2,5
ORD10034,CUST3341,2024-01-04,January,Q1,Toys,Dolls,Hyderabad,Direct,COD,1,392.73,25,98.18,294.55,238.82,55.73,18.92,0,,4,10
ORD10035,CUST2413,2024-01-04,January,Q1,Toys,Action Figures,Mumbai,Social Media,UPI,1,1164.38,15,174.66,989.72,810.96,178.76,18.06,0,,4,5
ORD10036,CUST2472,2024-01-04,January,Q1,Sports,Sportswear,Delhi,Paid Ads,COD,3,5272.59,10,1581.78,14235.99,8458.13,5777.86,40.59,1,Wrong Item,4,4
ORD10037,CUST2560,2024-01-04,January,Q1,Fashion,Mens Clothing,Hyderabad,Direct,Debit Card,2,3598.7,0,0.0,7197.4,4986.37,2211.03,30.72,0,,5,6
ORD10038,CUST1083,2024-01-04,January,Q1,Electronics,Mobile,Ahmedabad,Paid Ads,UPI,1,25508.94,10,2550.89,22958.05,12407.31,10550.74,45.96,0,,5,5
ORD10039,CUST3010,2024-01-04,January,Q1,Beauty,Makeup,Chennai,Social Media,COD,3,2573.47,15,1158.06,6562.35,3552.73,3009.62,45.86,1,Changed Mind,4,8
ORD10040,CUST2787,2024-01-04,January,Q1,Fashion,Womens Clothing,Kolkata,Organic Search,Debit Card,1,3082.87,20,616.57,2466.3,1412.71,1053.58,42.72,0,,4,2
ORD10041,CUST3966,2024-01-04,January,Q1,Electronics,Tablet,Pune,Referral,UPI,1,52330.78,25,13082.7,39248.08,29630.61,9617.48,24.5,0,,4,6
ORD10042,CUST2824,2024-01-04,January,Q1,Home & Kitchen,Decor,Hyderabad,Organic Search,Credit Card,2,3863.01,10,772.6,6953.42,3637.03,3316.39,47.69,0,,5,2
ORD10043,CUST2737,2024-01-04,January,Q1,Electronics,Headphones,Mumbai,Organic Search,Credit Card,2,26862.13,10,5372.43,48351.83,31054.88,17296.96,35.77,0,,4,6
ORD10044,CUST1366,2024-01-05,January,Q1,Books,Fiction,Chennai,Social Media,UPI,1,778.22,0,0.0,778.22,413.92,364.3,46.81,0,,3,4
ORD10045,CUST2791,2024-01-05,January,Q1,Fashion,Womens Clothing,Hyderabad,Email,UPI,1,764.66,0,0.0,764.66,408.26,356.4,46.61,1,Damaged Product,2,1
